gene,err_spaceflight,err_ground,err_ratio
AT3G26070,0.36277184,0.06095542,5.9514275
AT3G30260,0.8802459,0.14792109,5.95078
AT4G28520,1.5457637,0.26011258,5.942672
AT3G49700,0.86817175,0.14609931,5.942339
AT3G44700,0.97697794,0.16459247,5.935738
AT3G60040,0.43705514,0.07366283,5.933183
AT5G58180,0.8713506,0.14706008,5.9251328
AT2G41260,1.4209785,0.23989858,5.923247
AT5G15360,1.5090287,0.2561966,5.89012
AT1G17810,1.0861123,0.18453461,5.8856826
AT2G01770,1.0334256,0.17596285,5.8729753
AT5G36930,0.87220705,0.14870672,5.8652825
AT5G49150,0.7224265,0.12322722,5.862556
AT2G21490,1.174219,0.20030747,5.8620825
AT5G27340,0.5881671,0.10062177,5.845326
AT1G10000,0.93665946,0.16025448,5.844825
AT5G44850,0.59528047,0.10198109,5.837165
AT3G47250,0.8741341,0.14982356,5.834423
AT1G48260,0.86704177,0.14878626,5.827431
AT3G07980,0.41448107,0.07117771,5.8231854
AT1G52820,1.1681995,0.20068635,5.821021
AT5G43360,0.6543255,0.11242991,5.819852
AT5G50130,0.64320946,0.110555604,5.817972
AT1G20400,0.9467076,0.16282551,5.8142457
AT2G25890,1.0410773,0.17905885,5.8141623
AT4G38280,0.5333746,0.09186384,5.806143
AT5G20470,0.72348225,0.12483876,5.795333
AT3G11370,0.8147966,0.1406031,5.7950115
AT1G51990,0.74663424,0.12884815,5.794683
AT3G45220,0.6548865,0.11319744,5.785347
AT5G43030,0.85956013,0.1487514,5.778501
AT3G44570,1.08323,0.18761861,5.773574
AT5G66970,0.70442456,0.12205203,5.77151
AT3G01570,1.1662505,0.20221785,5.767297
AT1G50520,0.9267295,0.1608096,5.7628984
AT5G27890,0.8732241,0.15155058,5.7619314
AT2G17190,0.22492237,0.03903649,5.7618475
AT4G03830,0.56740314,0.098531656,5.758587
AT1G17240,0.7109121,0.12364169,5.7497764
AT2G31580,0.40275523,0.070144944,5.7417564
AT4G22950,0.9704754,0.16905814,5.7404823
AT4G38300,0.85079306,0.14845206,5.731096
AT2G33880,0.8050776,0.14068249,5.7226562
AT5G06900,1.1070898,0.1936003,5.7184296
AT4G08990,0.894255,0.15663908,5.709015
AT2G13640,0.8004551,0.14038497,5.7018566
AT5G50530,0.7218623,0.12676392,5.69454
AT2G30670,1.1739554,0.20626695,5.691437
AT5G33390,0.78663194,0.1383585,5.685461
AT2G03330,0.4675528,0.082273245,5.682926
AT3G51810,1.1885936,0.20921937,5.6810875
AT5G24130,0.92006433,0.16207227,5.6768765
AT1G27461,1.1659777,0.2054311,5.67576
AT2G18140,0.79955554,0.14103098,5.66936
AT3G24890,0.7579401,0.13392171,5.6595755
AT3G27660,1.1628356,0.20549463,5.658715
AT1G52800,1.1575215,0.20478167,5.652466
AT2G21080,0.55319417,0.09789273,5.6510234
AT4G25140,1.2397606,0.21941534,5.6502914
AT2G15010,1.1013522,0.1955038,5.633405
AT1G66950,0.57088995,0.10135855,5.6323805
AT1G17260,0.54354,0.09666037,5.6231937
AT3G22940,0.7094782,0.12617211,5.623098
AT5G25040,0.4784846,0.08514471,5.619663
AT2G18540,0.9258054,0.16483726,5.616481
AT3G49070,0.7315801,0.13045812,5.6077766
AT4G18720,0.63919604,0.11404826,5.60461
AT3G22640,1.2554889,0.22442164,5.5943303
AT1G77100,0.74970335,0.13413294,5.589256
AT5G37440,0.99222976,0.17809023,5.5715
AT1G59790,0.664743,0.11936284,5.5690947
AT1G60090,0.7297104,0.13106437,5.567572
AT1G63230,0.7297368,0.1310898,5.5666933
AT5G41220,0.33570844,0.060322523,5.565224
AT5G52800,0.7919523,0.14247364,5.558588
AT5G17720,0.5774555,0.10388992,5.5583396
AT3G20210,0.9626119,0.17394611,5.5339656
AT5G46795,0.81892884,0.14808424,5.5301547
