"pathway","n","total","pvalue","fold","pathway_name"
"ath03040",25,243,1,0.449119049225303,"Spliceosome - Arabidopsis thaliana (thale cress)"
"ath03050",6,61,1,0.429387261488847,"Proteasome - Arabidopsis thaliana (thale cress)"
"ath03060",10,62,1,0.704102767495152,"Protein export - Arabidopsis thaliana (thale cress)"
"ath03082",9,64,1,0.613889600409836,"ATP-dependent chromatin remodeling - Arabidopsis thaliana (thale cress)"
"ath03083",21,69,1,1.32861130909955,"Polycomb repressive complex - Arabidopsis thaliana (thale cress)"
"ath03250",9,39,1,1.00740857503153,"Viral life cycle - HIV-1 - Arabidopsis thaliana (thale cress)"
"ath03272",3,12,1,1.09135928961749,"Virion - Hepatitis viruses - Arabidopsis thaliana (thale cress)"
"ath03410",18,50,1,1.57155737704918,"Base excision repair - Arabidopsis thaliana (thale cress)"
"ath03420",25,85,1,1.28395210543234,"Nucleotide excision repair - Arabidopsis thaliana (thale cress)"
"ath03430",6,32,1,0.818519467213115,"Mismatch repair - Arabidopsis thaliana (thale cress)"
"ath03440",20,60,1,1.45514571948998,"Homologous recombination - Arabidopsis thaliana (thale cress)"
"ath03460",14,46,1,1.32861130909955,"Fanconi anemia pathway - Arabidopsis thaliana (thale cress)"
"ath04016",38,148,1,1.12085548663418,"MAPK signaling pathway - plant - Arabidopsis thaliana (thale cress)"
"ath04070",23,79,1,1.27095005879505,"Phosphatidylinositol signaling system - Arabidopsis thaliana (thale cress)"
"ath04075",130,434,1,1.30761942534814,"Plant hormone signal transduction - Arabidopsis thaliana (thale cress)"
"ath04081",4,8,1,2.18271857923497,"Hormone signaling - Arabidopsis thaliana (thale cress)"
"ath04082",3,9,1,1.45514571948998,"Neuroactive ligand signaling - Arabidopsis thaliana (thale cress)"
"ath04120",41,163,1,1.09805474538201,"Ubiquitin mediated proteolysis - Arabidopsis thaliana (thale cress)"
"ath04130",15,55,1,1.1905737704918,"SNARE interactions in vesicular transport - Arabidopsis thaliana (thale cress)"
"ath04136",6,41,1,0.638844462215114,"Autophagy - other - Arabidopsis thaliana (thale cress)"
"ath04141",36,223,1,0.704734249797839,"Protein processing in endoplasmic reticulum - Arabidopsis thaliana (thale cress)"
"ath04142",40,193,1,0.904753815226932,"Lysosome biogenesis - Arabidopsis thaliana (thale cress)"
"ath04144",32,156,1,0.895474288916912,"Endocytosis - Arabidopsis thaliana (thale cress)"
"ath04145",28,144,1,0.848835003035823,"Phagocytosis - Arabidopsis thaliana (thale cress)"
"ath04146",24,90,1,1.16411657559199,"Peroxisome - Arabidopsis thaliana (thale cress)"
"ath04148",11,53,1,0.906034127229611,"Efferocytosis - Arabidopsis thaliana (thale cress)"
"ath04156",14,97,1,0.630063095036899,"Integrated stress response (ISR) signaling pathway - Arabidopsis thaliana (thale cress)"
"ath04382",8,35,1,0.997814207650273,"Cornified envelope formation - Arabidopsis thaliana (thale cress)"
"ath04517",13,50,1,1.13501366120219,"IgSF CAM signaling - Arabidopsis thaliana (thale cress)"
"ath04518",4,14,1,1.24726775956284,"Integrin signaling - Arabidopsis thaliana (thale cress)"
"ath04519",16,65,1,1.07456914670029,"Cadherin signaling - Arabidopsis thaliana (thale cress)"
"ath04620",5,15,1,1.45514571948998,"Toll-like receptor signaling pathway - Arabidopsis thaliana (thale cress)"
"ath04626",83,220,1,1.64696038251366,"Plant-pathogen interaction - Arabidopsis thaliana (thale cress)"
"ath04712",7,43,1,0.710652560681154,"Circadian rhythm - plant - Arabidopsis thaliana (thale cress)"
"ath04814",23,82,1,1.2244518859123,"Motor proteins - Arabidopsis thaliana (thale cress)"
"ath04981",21,40,1,2.29185450819672,"Folate transport and metabolism - Arabidopsis thaliana (thale cress)"
"ath05100",10,26,1,1.67901429171921,"Bacterial invasion of epithelial cells - Arabidopsis thaliana (thale cress)"
